User_Id,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE,User_Satisfaction
3261,2.17,49,0,0,-6,26.2,41744,3880,4922,187047,2246,12464,0
13747,131.536,62053,0,0,-6,29.2,8389,5403,603,168445,2204,572,1
15444,21.472,17293,0,0,-3,26.4,63156,3503,2286,147828,1514,4749,0
16876,783.595,389367,49.132,4963,-6,29.8,89375,1489,978,111548,759,5893,0
8171,3.205,44,0,0,-7,29,140172,2536,3023,169881,3645,5041,0
23332,700.208,315269,0,0,-5,-19.8,79981,3919,1160,152702,3148,7520,0
23539,0,0,1026.833,252516,-7,26,31364,2285,5,225198,463,1127,0
3110,319.714,94608,10.755,1069,-3,-19.8,149640,1859,1699,223945,5881,3658,0
10983,313.019,151550,0,0,-5,29.4,104096,2966,763,113756,4950,7147,0
11582,27.48,230,0,0,-6,29.2,70846,2304,4814,282442,3164,4939,0
9245,10.447,1837,0,0,-7,-19.8,30883,5987,1057,32072,3943,4022,1
18728,299.731,74234,0,0,-6,29.8,47639,8333,509,102968,6264,1369,0
17552,769.906,210876,388.332,40695,-7,-19.9,64879,3373,2606,262213,801,2436,1
13876,632.677,614827,0,0,-5,27,57005,1168,950,235619,3700,3873,0
15810,0,0,18.305,4442,-7,25.2,80982,1388,1433,104415,1898,2922,0
21385,17.872,7217,0,0,-5,-19.8,124048,1665,1946,45365,4183,2585,0
10340,123.513,60345,100.297,6351,-7,24.2,50379,2387,1983,242184,5809,14912,1
8738,9.187,98,0,0,-6,25.6,37604,4648,1307,144514,4071,11065,0
22733,124.37,51353,0,0,-7,22,105588,3925,905,146089,2290,12727,0
8683,74.055,17986,0,0,-5,29.6,93302,6464,4511,179984,4445,4978,0
19297,634.812,362538,0,0,-3,25.8,57150,4122,2536,81738,4551,8790,0
10070,50.977,24889,0,0,-3,3.1,113563,2829,3023,218343,4541,2541,0
12972,28.813,7318,0,0,-6,-19.8,99034,2011,85,146255,3148,4958,1
22220,138.529,106860,0,0,-4,28,80647,3587,1750,149570,1317,2971,0
14022,13.338,124,0,0,-8,17.2,75519,5312,155,240881,546,3347,0
19817,3.495,39,0,0,-5,25,97033,2565,2804,34538,4227,3619,0
16888,4.255,76,0,0,-6,27.8,77048,8905,2716,96514,5626,265,0
18171,154.668,232463,0,0,-3,27.6,1578,3549,3624,219642,6424,14519,1
19480,0,0,2.429,22,-7,27,74766,4781,3232,209785,4227,2112,0
7573,59.164,3359,24.155,1842,-8,14,67607,1780,1873,165778,1781,769,0
17794,45.385,12125,0,0,-5,-19.8,55618,3277,3387,285486,3035,563,0
15038,23.086,2163,0,0,-7,25.5,95747,113,901,120453,777,5576,0
15783,3.408,10,0,0,-6,29.8,84939,2961,1444,194015,4506,7958,0
16099,745.851,504969,0,0,-3,-19.8,47296,634,941,200695,1170,4725,0
12518,1436.094,737450,1133.582,207723,-7,25.2,49777,5440,671,193248,1062,9260,0
16568,781.667,296231,0,0,-4,-19.8,54135,3550,946,29124,5164,10293,0
23493,4909.059,2342700,41.783,10835,-3,29.7,82323,4971,1808,213838,769,3777,0
11532,2.161,21,0,0,-7,10,81460,1885,5,8724,3435,8850,0
10105,2688.526,1703742,125.656,30597,-3,-19.8,115102,8,1080,238987,4142,4368,0
13562,2.169,17,0,0,-7,-19.9,130507,4974,3107,165013,4469,1761,0
17134,322.801,191827,281.788,75593,-6,-19.9,73007,4881,2891,197875,341,8029,0
449,6.48,144,4.207,59,-6,29.8,77141,2179,3098,196728,2472,2563,1
8481,76.6,33392,0,0,-7,22.6,40511,2410,76,268322,4232,8183,0
19798,3471.608,1786888,15.849,1268,-7,28.6,69235,5320,750,181340,2992,1961,0
14062,5971.27,1408832,628.602,32023,-3,-19.8,56334,5245,1726,173101,1061,5014,1
13847,34.509,14321,0,0,-3,27.7,92926,7609,2901,109948,4478,2098,0
3216,479.532,376276,66.489,49562,-5,-19.8,48377,7663,3824,187230,5672,4967,0
17074,0,0,2371.741,544852,-4,28,132145,4464,1598,129819,18,5043,0
14487,226.44,111216,0,0,-3,-19.9,82852,3783,3179,132346,2813,7664,0
2590,168.348,62686,0,0,-6,25.6,34536,4601,1183,157406,4875,2950,0
18526,308.461,421250,0,0,-4,28.4,72753,899,2066,113707,3156,8114,0
15892,89.872,48732,0,0,-7,25,37056,9549,676,198691,2052,5086,0
11400,1632.468,877956,0,0,-3,29.2,57450,5724,3259,165917,3848,1649,0
8150,224.137,130238,0,0,-3,29.6,34069,2725,1075,219204,4458,1775,0
19507,159.244,76784,0,0,-8,21.8,74430,4762,2233,152786,3452,2691,1
18957,3.501,56,0,0,-6,29.6,92419,4106,231,64195,4846,7431,0
11869,80.611,32948,0,0,-3,-19.8,63689,326,4949,156843,3774,6873,0
10440,19.535,6600,0,0,-6,26.4,65926,5516,1023,150460,3200,3114,0
7185,14.94,16443,0,0,-8,21.3,60943,3127,3107,188981,2987,653,1
19999,12.056,1618,0,0,-5,-19.9,99399,3892,2883,123150,1702,377,1
5942,1095.229,1389526,23.256,7445,-6,29.8,56256,1312,1349,135544,3655,8574,0
19956,0,0,3.288,23,-6,27,93133,7398,1227,171366,2036,5292,0
8241,10.551,2867,0,0,-3,-19.8,65363,4980,2412,152454,3901,630,0
18764,130.343,73340,0,0,-4,-19.8,45938,459,3062,214066,3364,1287,0
10700,182.702,118541,0,0,-3,-19.8,60696,8866,4776,140058,6759,4873,0
4858,15.538,421,0,0,-5,-19.8,95835,3296,1456,286377,1068,1689,1
15506,517.404,327750,0,0,-3,-19.8,54499,2014,1989,194153,3034,9147,0
16391,2.161,17,0,0,-7,17.6,112801,9313,2678,165458,4669,5160,0
1736,111.629,132185,0,0,-4,-19.8,86507,2767,2893,106546,19,8535,0
7962,50.683,46842,0,0,-5,-19.8,96809,3925,1269,108319,2100,13890,0
17352,864.675,635134,26.577,6463,-6,29.8,59449,6619,1437,261517,4071,12781,0
15764,3.073,29,0,0,-3,22.3,95138,8740,2205,151312,2537,753,1
11877,338.563,124830,77.836,17083,-5,28.6,58654,6196,2627,62954,4258,6722,0
7192,12.735,4205,0,0,-11,4.6,117769,2601,1300,18696,2621,2523,0
23103,1504.45,1282643,117.598,19709,-4,-19.7,85548,3244,3443,257580,4178,4582,0
4589,244.544,197266,0,0,-4,-19.8,30760,2495,1197,171543,3248,9525,0
468,5.477,89,0,0,-6,27.6,71178,4604,3407,146157,524,6505,0
2967,26.712,39109,2.729,25,-4,29,106786,3602,2950,237477,2092,11746,0
534,0,0,214.28,39791,-6,28.4,102636,857,1907,147359,6229,7570,0
11484,182.006,70032,3.373,98,-5,-19.8,13626,5624,2954,166355,176,14093,1
21397,42.425,22266,0,0,-4,26,2930,2922,2807,138970,3089,10021,1
21556,0,0,2.246,53,-9,27.2,50951,5686,3716,243902,1034,6534,1
18340,20.773,463,0,0,-3,-19.7,102807,5388,810,156278,4064,1603,0
6978,2.458,6,0,0,-6,-19.8,69961,6578,2371,224541,5451,2742,0
1357,44.487,30781,0,0,-6,27.2,76706,871,557,154902,2635,5212,0
3137,404.887,281625,26.943,3741,-3,-19.8,62540,8106,1812,18019,1854,6237,1
20001,174.614,72122,3.442,36,-7,-19.9,136326,293,2770,130087,2839,1970,0
12982,272.614,145953,8.282,2828,-3,-19.8,78788,4885,1212,151540,4872,3045,0
7899,56.206,5599,0,0,-6,28.2,45565,2837,1419,220559,1280,425,0
6591,1587.28,781383,6.774,1489,-6,27.8,47995,7366,2719,230020,3767,1939,0
7414,152.391,98820,2.512,540,-5,-19.8,1154,3801,811,188005,6235,5526,1
1963,1399.36,276550,413.599,44844,-6,29,42434,3354,3758,207072,2660,9111,0
17635,0,0,3.262,30,-5,29,56083,4470,922,16576,1943,7006,0
5280,8.788,69,0,0,-6,22,91911,6493,2564,106402,3241,8817,0
20438,271.898,69978,0,0,-4,-19.8,93267,5454,565,87255,4445,4933,0
1678,37.83,21825,0,0,-7,28,60355,771,2591,150744,1036,9178,0
15827,89.145,7308,24.86,353,-6,25.6,93166,9124,1148,14322,2582,3113,1
2353,39.04,13445,0,0,-4,-19.7,97171,1610,1351,157851,1392,8602,0
21571,487.435,251450,241.029,54981,-4,-19.8,102971,4859,18,202058,4165,3530,0
8892,16.6,7977,0,0,-3,-19.8,52383,4261,1878,132137,266,584,1
6473,0,0,3.25,67,-7,25,75438,5190,1111,205368,6488,5146,0
17587,21.221,4665,136.515,38456,-6,29.8,104234,3329,1119,182993,2629,13186,0
8038,0,0,264.003,41327,-6,13,84106,8626,4172,219175,3816,8506,0
4518,1318.111,1222918,149.202,41098,-6,27.8,97340,9506,3017,120230,4612,1891,0
3148,388.132,257072,0,0,-7,15,44156,3908,654,142380,1756,566,1
14324,303.483,383153,0,0,-6,29.2,52338,3620,4299,40521,5847,722,0
7103,5.036,38,0,0,-6,29.8,61422,1160,4971,196621,6613,674,0
8714,5.44,346,0,0,-6,27.6,74789,4225,3243,153968,4126,2155,1
17919,571.897,318958,0,0,-5,-19.8,76856,1974,3095,236171,415,9825,0
9721,39.723,1011,0,0,-3,28.8,94580,2262,700,211448,2297,9772,0
23593,2.355,32,0,0,-4,27,63608,3057,1601,240502,5609,3580,0
23647,6704.175,1441562,705.288,33298,-12,1.2,76688,7621,9,234458,1670,6863,1
4225,10.568,202,5.617,180,-7,29,87724,3659,655,155206,37,9770,1
2087,75.91,31871,0,0,-6,-19.8,102955,2389,660,233837,6897,8054,1
6893,0,0,248.14,30945,-4,-19.8,1072,8724,2255,146647,1515,5248,0
965,468.737,205221,530.314,85982,-4,-19.8,46508,4245,2017,17146,5191,4027,1
14228,235.884,190468,0,0,-3,-19.8,64028,4890,1764,155620,1410,8337,0
21295,1445.355,990888,68.258,32679,-6,-19.8,78282,1615,3523,1878,6742,4386,1
14029,219.311,184668,773.416,208177,-3,-19.8,48890,3807,284,16950,3940,6352,0
10559,192.583,100225,0,0,-6,-19.8,89614,4801,4063,174133,6344,6109,0
5851,36.12,36786,0,0,-7,24.2,35441,2810,1594,17342,1367,3299,0
7807,17.981,3596,0,0,-7,20,29930,1667,1220,22099,511,2158,0
21057,12.335,315,0,0,-3,-19.8,95324,9692,3638,153229,4981,3875,0
21356,257.256,16550,0,0,-3,3.1,43510,3833,1979,214206,2127,1336,0
10062,22.198,4157,0,0,-7,29.3,86148,5162,354,192549,1498,8867,1
22824,343.067,161542,0,0,-6,-19.8,79825,4886,244,244854,2612,5483,0
16424,962.636,445266,0,0,-3,-19.8,208,2000,3761,14970,3885,9437,1
18622,146.292,45873,6.768,497,-5,-19.8,51335,1675,1357,253403,5513,8709,1
10735,27.063,4569,0,0,-3,-19.8,31267,2893,981,42102,3810,392,0
12686,3.723,55,0,0,-4,-19.8,63915,50,136,129659,2492,14937,0
2653,1616.625,1014656,0,0,-3,-19.8,93469,2026,4413,226316,767,12517,0
11305,38.148,33732,29.86,5466,-5,-19.8,19859,4825,2554,151607,2679,14577,1
20882,1191.337,811463,2871.557,926874,-8,19.4,83222,438,1082,200224,5499,8840,1
12519,21.666,14393,0,0,-7,26.4,58562,509,1327,207135,607,1854,0
5897,20.357,9634,0,0,-6,17,98274,152,1686,182069,4585,2541,1
19886,1127.6,217777,0,0,-7,-19.9,56419,9829,729,221327,1862,12044,1
14534,897.591,161876,97.189,24533,-6,29.4,46801,2533,1855,164046,1382,4460,0
17362,163.346,53212,0,0,-3,-19.9,43234,1711,1044,289800,5118,7194,0
10521,0,0,2.249,21,-7,26.8,51528,1303,2865,164267,1629,4681,0
8777,5.456,4297,0,0,-7,22,39473,2808,3450,211418,3807,5439,1
10313,79.225,36981,0,0,-5,27.7,79168,8467,3079,122987,3362,3741,0
9887,8.619,15535,0,0,-5,15,53193,181,4728,153781,1327,3296,0
16495,141.41,259882,0,0,-6,29.8,49123,5535,1736,124866,2494,9576,0
6446,101.935,11473,24.276,759,-3,-19.8,80271,4775,1692,165837,5121,1430,0
15577,126.093,145069,3.569,927,-7,15.1,121516,4785,2016,123636,905,7643,0
10139,409.269,128469,0,0,-3,22.8,86419,2255,175,135161,1369,1832,0
1898,2.359,37,0,0,-6,20.2,100222,3954,789,166830,3810,12847,0
5662,65.464,23628,5.61,495,-6,27.4,88851,5524,4414,168923,999,1901,0
14006,1151.999,397867,0,0,-4,-19.9,89381,4818,1859,294824,5228,448,0
6375,4.512,58,0,0,-6,29.8,49499,1300,932,114184,2056,11407,0
10987,14.073,130,0,0,-6,27.2,80170,4274,541,138132,5968,8202,0
9404,30.571,26171,0,0,-5,-19.8,31326,7089,1303,211201,1285,3948,1
13564,43.749,26396,0,0,-6,-19.8,93295,464,453,276497,1466,9592,0
16064,333.81,60351,0,0,-5,25,49349,227,804,193584,3731,9110,0
14799,76.47,61994,0,0,-6,28.2,38832,567,2233,139916,991,3398,0
5447,12.618,5691,0,0,-5,-19.8,84842,2785,1644,226515,3190,7566,1
11026,4.013,49,0,0,-6,28.2,87060,7132,2137,118582,2075,7061,0
9316,2.802,31,8.985,245,-6,23.4,98683,2029,1182,147291,4082,5364,1
13790,58.799,32754,0,0,-5,-19.8,71165,3605,390,125885,3927,6503,0
9231,446.483,370659,0,0,-8,27.2,88553,2327,2398,215951,1584,9364,0
5630,2.445,16,0,0,-7,18.8,72441,1428,2623,166435,2040,272,0
14406,73.236,18875,0,0,-4,29.8,41826,3556,1959,103225,6967,5337,0
12359,48.055,14698,0,0,-7,26.8,145681,2636,664,291314,3717,10818,0
15423,92.28,179371,0,0,-3,1.9,64707,2321,2702,166391,4963,3148,0
21828,993.509,257196,2.658,637,-7,24.8,94964,9254,1266,265843,2746,753,0
12885,0,0,43.161,8626,-5,-19.9,89976,205,4884,74174,2030,5749,0
8231,19.053,8284,0,0,-7,-19.9,93029,3883,1168,239590,1772,3848,1
6735,170.444,84840,46.448,13003,-7,29.5,43009,6785,292,172672,1234,886,0
21277,35.854,29577,0,0,-7,29.2,53735,2637,2246,201232,3968,4085,0
10690,11.93,497,0,0,-5,-19.8,59130,1679,1269,160503,5233,3827,0
8297,6.171,2366,0,0,-7,18.8,27765,5410,3915,156057,1193,9069,1
21278,3930.948,1102123,48.137,16389,-7,23.7,132131,4855,1668,58437,2051,4053,0
5628,15.118,2711,0,0,-3,-19.8,64759,1622,362,12565,464,1653,0
4532,18.817,245,0,0,-3,-19.8,2178,1618,81,152584,3573,2092,0
21451,2411.674,1545380,333.91,24434,-3,29.8,103147,3999,2214,168209,2153,2960,0
18125,49.933,16322,0,0,-5,-19.8,88570,5642,1698,55718,3294,3622,0
573,2.157,34,0,0,-7,23.6,46840,4968,2382,186607,3235,10757,0
21974,6.69,3167,0,0,-7,23,51419,21,747,182777,760,8068,0
2139,0,0,179.794,18342,-8,28,115047,3145,1128,211156,1266,2740,0
12880,121.753,106194,0,0,-8,21.4,33136,4318,1515,195796,2970,6739,1
7054,3.191,18,0,0,-6,28.8,81854,3051,544,100560,4815,5873,0
9751,175.36,61878,0,0,-6,28.8,100263,2376,2437,138084,3632,14330,0
20106,7.705,60,0,0,-6,29.8,70786,4928,4120,153766,1544,4103,0
8666,5.965,75,0,0,-6,-19.8,89056,7355,3580,142918,4891,5828,0
1405,4.298,68,0,0,-7,20.4,60472,1960,984,112055,3609,1561,0
4805,5.701,138,0,0,-5,25,87867,2074,3177,203616,6251,1809,0
15234,465.753,210228,74.591,3587,-3,-19.9,36978,5694,1836,135472,1339,2400,0
8656,0,0,7.578,256,-8,10.8,115627,6711,1937,142947,1366,2906,0
17208,19.352,216,0,0,-6,25.8,52851,1744,1063,111623,2166,167,0
20812,1345.365,743607,2.215,82,-6,28.6,135279,265,2767,173387,2479,1753,0
13983,2.191,49,0,0,-4,29,137700,932,1204,153226,2572,2064,0
23118,73.442,11869,57.239,4917,-4,24,84413,1046,604,12924,2359,14749,0
13174,7719.973,1058131,0,0,-3,-19.8,96883,8333,460,244445,1326,7189,0
5701,281.908,162857,0,0,-7,29.4,38643,4896,812,183266,693,2537,1
8734,232.926,207584,0,0,-8,18.4,57512,2700,4903,260124,2217,6358,0
12651,320.014,194134,108.567,13562,-3,-19.8,77869,3120,1437,168815,4371,2165,0
8685,25.414,580,0,0,-4,-19.8,134159,2776,1823,251420,2975,2067,1
10545,27.384,34611,0,0,-3,27.8,88383,2732,3214,217092,190,2306,1
15948,48.871,32140,0,0,-9,17,74269,804,2346,161311,4083,6805,0
13165,0,0,3324.291,717568,-6,28.8,66578,4703,2169,185722,4080,6216,0
14488,109.45,156901,0,0,-6,27.8,33809,1695,4612,124866,2826,14286,0
14259,229.761,59053,0,0,-3,22.8,98160,278,2107,170166,5030,6867,0
13223,248.326,110460,12.164,5402,-6,27.2,33061,1890,2006,113040,1610,2776,0
12448,140.878,72590,0,0,-3,-19.8,76163,1241,2295,128463,2562,6653,0
10421,3697.017,1547166,0,0,-7,24.6,61322,4686,423,208783,3396,3276,0
2007,0,0,181.521,23969,-8,9.8,89785,6708,0,172433,2804,9899,0
13093,898.405,380249,11.973,215,-6,23.4,89412,3685,1156,101668,3216,2597,1
7512,631.196,139526,0,0,-3,29,4461,9363,1437,18555,2182,3880,1
874,4.138,30,0,0,-6,27.2,73769,5311,1599,179693,4392,6302,0
112,17.455,10407,0,0,-3,-19.8,66517,17,470,107462,3075,1533,0
5998,25.845,4981,0,0,-5,29.6,80067,3254,3749,174645,4234,11794,0
16025,497.691,425120,13.788,154,-5,-20,73540,3617,1491,140207,710,7086,0
5161,94.105,18903,50.753,4996,-7,24.2,101309,3297,1565,218824,3843,8318,0
22052,13.413,3038,0,0,-8,14.4,80334,3102,1641,173362,2188,2737,0
959,24.854,6547,0,0,-4,-19.8,71842,332,1307,214847,6905,9629,0
8215,811.16,593964,0,0,-3,29.4,63316,1727,2105,165398,3066,4266,0
6197,172.118,133530,0,0,-5,-19.8,86082,3194,2869,278073,3643,5079,0
11356,14.556,76,0,0,-3,-19.8,56340,3427,4383,157191,5020,2074,1
7432,5.037,52,0,0,-7,23.6,56598,6828,2387,164998,4556,7013,0
18602,1752.385,669720,254.754,32792,-5,-19.8,96898,3601,3087,204871,4895,7018,0
11434,15.8,1046,4.291,593,-5,29.8,127634,1048,3740,132216,1750,14808,0
20989,246.424,82224,6.791,98,-7,-20,109465,2897,2781,171911,890,8121,1
11449,22.61,281,6.879,81,-8,20,114009,4806,3165,282581,2043,9799,1
13536,64.601,69128,0,0,-6,25.6,40618,1567,1728,210545,3517,1472,0
7664,602.805,356486,41.556,5182,-3,-19.8,112805,914,1048,246934,1118,8462,0
13605,2.118,26,0,0,-7,24.8,94014,819,915,167364,4708,7845,0
5958,377.141,100520,0,0,-8,26.8,95465,3045,1343,178955,3255,6707,0
8384,89.051,85221,0,0,-7,29.2,18872,4905,4119,133537,1221,3302,1
16694,55.437,83067,0,0,-7,14.2,71215,4171,852,279523,4530,13476,0
13362,51.684,16770,0,0,-7,29.2,33848,6066,1151,179577,718,552,1
11143,76.37,20929,0,0,-3,-19.8,97886,2525,673,189911,1313,3079,0
497,252.617,159645,7.234,1827,-6,27.2,83222,423,1193,191787,431,2155,0
16364,11.509,8121,0,0,-6,-19.9,104537,2206,4671,264476,3096,8446,1
4675,30.267,7381,0,0,-7,-20,88851,5547,525,222042,4331,9266,0
4353,14.104,192,0,0,-6,28.4,118483,3350,2537,248907,1192,2697,0
9119,9.493,979,0,0,-6,-19.9,54741,6543,2831,176276,3222,13714,1
18879,0,0,2.351,13,-7,16.2,49151,105,1574,101240,5056,12839,1
11025,1724.549,899335,335.018,71487,-3,-19.8,31895,3178,788,153179,2369,8275,1
22217,12.953,98,3.149,31,-4,29.8,51204,3322,1391,175838,1441,2102,1
12894,215.302,321935,0,0,-4,27.3,95028,3597,1574,260877,3458,2984,0
3655,0,0,3.956,34,-7,26.6,30252,7050,3132,230164,3199,5901,0
2312,0,0,111.729,27511,-7,24.4,98223,5052,4821,55698,950,1829,0
18948,53.752,14192,0,0,-4,24,33522,3631,1112,162438,590,5001,0
19273,474.988,495200,68.744,17712,-3,-19.8,149390,5798,2528,161474,3883,1739,0
9345,41.146,456,3.389,50,-7,18,79081,7101,515,203296,4032,1912,1
20515,1614.864,1176998,199.701,26541,-5,-19.8,77458,1121,2472,167386,1094,2003,0
1050,204.498,66839,57.207,5328,-6,21.7,75553,2859,92,223256,2551,4318,0
13877,453.762,277544,0,0,-6,24.6,62813,2690,3193,168657,1006,31,1
18310,832.303,569106,34.759,1300,-7,-20,88130,2288,1318,121558,1913,4184,0
6358,7.199,55,0,0,-6,26.2,55739,7301,2471,185119,2542,4392,0
10531,0,0,15.55,536,-10,-19.9,429,2092,1672,10867,2397,4703,0
23572,5.223,218,11.096,173,-4,-19.7,50499,3209,1505,42199,2404,3109,0
18452,13.767,762,0,0,-7,29.7,65515,4637,436,172783,6572,14137,1
8745,679.796,285412,28.25,9947,-3,-19.8,137307,1018,1898,151060,523,5574,0
6482,93.159,52437,0,0,-7,23,91379,2853,837,113190,6254,4078,0
1090,0,0,4.288,21,-3,-19.8,76480,3763,1699,15776,937,4611,0
16695,89.042,41239,0,0,-3,3.8,100743,2695,1073,167678,1005,10368,0
16013,663.4,395529,2194.471,573942,-7,22.2,72549,3504,2961,219522,4412,8854,0
3147,391.999,170227,0,0,-4,-19.8,138122,3531,2719,234751,2332,2821,0
12609,2.18,32,0,0,-5,-19.8,83982,2336,2678,5330,1202,7883,0
12783,1130.915,649133,714.666,100734,-6,25.5,99569,1813,1210,115325,4237,9121,0
21151,4.905,72,0,0,-7,23,68538,5779,1513,166312,2263,2947,0
10586,426.981,78369,0,0,-3,3.4,100507,4483,1126,203845,1488,2230,0
626,229.294,55371,83.237,39947,-4,29,98204,2373,2707,140046,4242,13543,0
11861,8.356,83,0,0,-6,24.8,85824,2729,910,190009,2343,3535,0
16472,238.153,64027,0,0,-6,28.4,76833,4761,1714,13693,2253,3342,0
14976,0,0,76.248,64728,-7,26.4,1651,6391,790,131073,3553,5845,0
1512,128.916,99463,94.355,34243,-3,-19.8,89197,3565,265,12598,5612,3123,0
1748,619.768,622777,0,0,-4,-19.8,93752,8230,82,155694,1230,4283,0
7116,721.151,107901,0,0,-9,-19.9,55485,2496,3186,244088,1225,2589,1
21534,245.529,161068,146.42,11961,-7,29.4,70762,9875,2915,158848,6710,3237,1
9626,42.651,65357,0,0,-5,-19.8,79886,5286,3419,128073,4239,4868,0
3508,460.851,266598,4.854,267,-4,-19.8,25901,2784,908,177938,2870,1286,0
5835,849.83,328069,62.644,4275,-4,-19.8,26990,2632,4965,191919,3252,1008,1
6670,38.693,23042,2.657,26,-4,29,59233,3092,1390,109788,629,9427,0
23320,2.893,33,0,0,-6,25.2,83765,6357,1603,169277,243,4586,0
1359,329.048,538121,0,0,-6,26.4,38683,1112,919,103797,361,2777,0
975,171.31,91727,0,0,-6,29.8,54323,3552,2323,149415,1554,5550,0
18815,2.7,116,0,0,-4,-19.8,36162,7292,488,170065,427,9727,1
20708,4.465,87,0,0,-7,28.8,66042,891,1759,197545,4301,2947,0
8293,2.418,20,0,0,-3,28,90683,6624,2855,231787,2046,2075,0
23543,142.623,81798,0,0,-5,-19.8,105546,5496,4776,228191,4237,9667,0
13161,65.503,16571,8.069,0,-5,27.8,66548,1085,3684,128229,1711,3611,0
18623,6.605,73,0,0,-7,21,84369,1532,973,173747,5072,1541,0
589,4.843,77,0,0,-3,18,37632,4207,3151,239944,482,5100,1
18968,8.934,2970,0,0,-5,26.4,31639,684,4687,225168,5308,4696,0
17969,360.836,535589,0,0,-7,24.6,64936,5912,1779,162436,6567,3304,0
8554,512.647,113277,0,0,-8,26.6,19079,2087,1245,167170,1704,12639,0
9034,50.136,74131,0,0,-6,28.4,139353,9287,2912,291787,3021,6520,0
577,462.775,265089,0,0,-5,-19.8,108300,1942,1080,259217,1562,11351,0
8687,8.114,277,0,0,-5,-19.9,66700,3490,2997,148528,2996,8958,1
13684,1037.313,1126763,0,0,-3,-19.8,97264,4107,1985,209975,402,4667,0
14691,0,0,2540.308,408578,-5,27,78300,5183,4790,23369,1671,563,0
7112,1674.669,987362,8.992,502,-3,-19.8,67985,6420,2543,188412,201,3878,0
22930,2.333,24,0,0,-7,24.2,59891,7073,1623,80610,3968,3794,0
11671,20.168,4018,0,0,-6,-19.8,35292,1160,836,121173,2724,8648,1
4774,0,0,2.302,18,-3,-19.8,96985,7544,1998,133784,3499,4898,0
